date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:56	229931/229931	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Dec%202024%2005:53:17%20GMT	https://ambronite.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://ambronite.com/)
10:59:57	5133/5133	---MCZ	200	added ('OK')	text/css	etag:W/%22f3a439f2feef1fc4bcfd8f1238aef37c%22	https://cdn.judge.me/shopify_v2/align.css	C:/My%20Web%20Sites/ambronite/cdn.judge.me/shopify_v2/align.css	(from https://ambronite.com/)
10:59:58	4101/4101	---MCZ	200	added ('OK')	text/javascript	etag:W/%222e70e1dd9e61886de91362e601dd3166%22	https://cdn.judge.me/loader.js	C:/My%20Web%20Sites/ambronite/cdn.judge.me/loader.js	(from https://ambronite.com/)
10:59:58	74951/74951	---MCZ	200	added ('OK')	text/css	etag:W/%2217df48f562393726dc43768ce27bcd73%22	https://cdn.judge.me/shopify_v2.css	C:/My%20Web%20Sites/ambronite/cdn.judge.me/shopify_v2.css	(from https://ambronite.com/)
10:59:58	105707/105707	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:478a17092346129b4738e65ed6066a8a%22	https://ambronite.com/POST	C:/My%20Web%20Sites/ambronite/ambronite.com/POST	(from https://ambronite.com/)
10:59:59	24703/24703	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22cacheable:24c60a6dc65ee2d3c333f14a456cb158%22	https://ambronite.com/cdn	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn	(from https://ambronite.com/)
10:59:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Dec%202024%2005:59:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ambronite/www.googletagmanager.com/gtm.165445.delayed	(from https://ambronite.com/)
11:00:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:56%20GMT	http://ambronite.com/cdn/s/trekkie.storefront.99dbbdfeb1f3090da185887d7e078889edcb783c.min.js	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/s/trekkie.storefront.99dbbdfeb1f3090da185887d7e078889edcb783c.min.js	(from https://ambronite.com/)
11:00:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:57%20GMT	http://ambronite.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://ambronite.com/)
11:00:01	116939/116939	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2006%20Dec%202024%2023:00:37%20GMT	https://ambronite.com/cdn/s/trekkie.storefront.99dbbdfeb1f3090da185887d7e078889edcb783c.min.js	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/s/trekkie.storefront.99dbbdfeb1f3090da185887d7e078889edcb783c.min.js	(from https://ambronite.com/)
11:00:01	8298/8298	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2002%20Nov%202024%2010:39:12%20GMT	https://ambronite.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://ambronite.com/)
11:00:01	18771/18771	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2023%20Nov%202024%2001:17:39%20GMT	https://ambronite.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.2.min.js	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.2.min.js	(from https://ambronite.com/)
11:00:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:59:58%20GMT	http://ambronite.com/cdn/shop/files/logo-without-R_410x.png?v=1613719520	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/logo-without-R_410xdc81.png	(from https://ambronite.com/)
11:00:02	13036/13036	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Nov%202024%2014:47:07%20GMT	https://ambronite.com/cdn/shop/files/logo-without-R_410x.png?v=1613719520	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/logo-without-R_410xdc81.png	(from https://ambronite.com/)
11:00:03	108039/108039	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:8fdd15a84a53c13f79246f8e5ddfbac1%22	https://ambronite.com/cart	C:/My%20Web%20Sites/ambronite/ambronite.com/cart.html	(from https://ambronite.com/)
11:00:03	232973/232973	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:80e1c3e2f3be489d8fcce773b667db27%22	https://ambronite.com/products/keto-meal-shake-new	C:/My%20Web%20Sites/ambronite/ambronite.com/products/keto-meal-shake-new.html	(from https://ambronite.com/)
11:00:03	183832/183832	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:499bde6a653a9f1a4e8eed66b3e5ebb2%22	https://ambronite.com/products/balanced-meal-shake-new	C:/My%20Web%20Sites/ambronite/ambronite.com/products/balanced-meal-shake-new.html	(from https://ambronite.com/)
11:00:03	279670/279670	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:61bc8a5720e4fcabe0ea91cd1dec7ca3%22	https://ambronite.com/products/complete-meal-shake-new	C:/My%20Web%20Sites/ambronite/ambronite.com/products/complete-meal-shake-new.html	(from https://ambronite.com/)
11:00:04	224986/224986	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:b857a8c7563ba0435c01b998e7127126%22	https://ambronite.com/products/ambrogreens-new	C:/My%20Web%20Sites/ambronite/ambronite.com/products/ambrogreens-new.html	(from https://ambronite.com/)
11:00:04	139071/139071	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:b8adfff3a8407ceafdb426da4dc95df0%22	https://ambronite.com/products/ambronite-shaker-bottle-500ml	C:/My%20Web%20Sites/ambronite/ambronite.com/products/ambronite-shaker-bottle-500ml.html	(from https://ambronite.com/)
11:00:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:01%20GMT	https://ambronite.com/blog	C:/My%20Web%20Sites/ambronite/ambronite.com/blog	(from https://ambronite.com/)
11:00:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:01%20GMT	https://ambronite.com/podcast	C:/My%20Web%20Sites/ambronite/ambronite.com/podcast	(from https://ambronite.com/)
11:00:05	112930/112930	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:211ac0dcde5832b6dc1c89b26eb4b398%22	https://ambronite.com/pages/ambronite-story	C:/My%20Web%20Sites/ambronite/ambronite.com/pages/ambronite-story.html	(from https://ambronite.com/)
11:00:05	114081/114081	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:fcc63b715f8d2e820d7a3a99c1ee5f0b%22	https://ambronite.com/pages/nutrition-and-ingredients	C:/My%20Web%20Sites/ambronite/ambronite.com/pages/nutrition-and-ingredients.html	(from https://ambronite.com/)
11:00:05	156306/156306	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:27393fab9790544d91cae06975d472b7%22	https://ambronite.com/pages/ingredients	C:/My%20Web%20Sites/ambronite/ambronite.com/pages/ingredients.html	(from https://ambronite.com/)
11:00:06	126284/126284	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:b8eb7dc6b102948656bb2e67d81d15b9%22	https://ambronite.com/pages/ambronite-ambassadors	C:/My%20Web%20Sites/ambronite/ambronite.com/pages/ambronite-ambassadors.html	(from https://ambronite.com/)
11:00:06	108062/108062	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:6fd91348f67269b557ac16d85281b330%22	https://ambronite.com/pages/refer-a-friend	C:/My%20Web%20Sites/ambronite/ambronite.com/pages/refer-a-friend.html	(from https://ambronite.com/)
11:00:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:03%20GMT	http://ambronite.com/cdn/shop/t/38/assets/us_flag.png?v=54132228046657482531564999119	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/us_flageb84.png	(from https://ambronite.com/)
11:00:07	110641/110641	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7edd646965ec2c6393e8180caafee3df%22	https://ambronite.com/account/login	C:/My%20Web%20Sites/ambronite/ambronite.com/account/login.html	(from https://ambronite.com/)
11:00:08	287/287	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2005:26:16%20GMT	https://ambronite.com/cdn/shop/t/38/assets/us_flag.png?v=54132228046657482531564999119	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/us_flageb84.png	(from https://ambronite.com/)
11:00:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:04%20GMT	http://ambronite.com/cdn/shop/t/38/assets/fi_flag.png?v=84587403653319758711564999112	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/fi_flag9e02.png	(from https://ambronite.com/)
11:00:09	911/911	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Nov%202024%2017:34:09%20GMT	https://ambronite.com/cdn/shop/t/38/assets/fi_flag.png?v=84587403653319758711564999112	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/fi_flag9e02.png	(from https://ambronite.com/)
11:00:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:05%20GMT	http://ambronite.com/cdn/shop/t/38/assets/de_flag.png?v=27907187602381251411564999111	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/de_flagb136.png	(from https://ambronite.com/)
11:00:10	636/636	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2005:26:16%20GMT	https://ambronite.com/cdn/shop/t/38/assets/de_flag.png?v=27907187602381251411564999111	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/de_flagb136.png	(from https://ambronite.com/)
11:00:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:06%20GMT	http://ambronite.com/cdn/shop/t/38/assets/eu_flag.png?v=132278828718686816181564999111	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/eu_flagf7ab.png	(from https://ambronite.com/)
11:00:10	968/968	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Nov%202024%2017:34:01%20GMT	https://ambronite.com/cdn/shop/t/38/assets/eu_flag.png?v=132278828718686816181564999111	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/t/38/assets/eu_flagf7ab.png	(from https://ambronite.com/)
11:00:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:07%20GMT	http://ambronite.com/cdn/shop/files/logo-without-R_280x@2x.png?v=1613719520	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/logo-without-R_280x@2xdc81.png	(from https://ambronite.com/)
11:00:11	17310/17310	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Nov%202024%2017:34:11%20GMT	https://ambronite.com/cdn/shop/files/logo-without-R_280x@2x.png?v=1613719520	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/logo-without-R_280x@2xdc81.png	(from https://ambronite.com/)
11:00:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:08%20GMT	http://ambronite.com/cdn/shop/files/KMS-Launch-Pic_300x.jpg?v=1613786272	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/KMS-Launch-Pic_300x4b8b.jpg	(from https://ambronite.com/)
11:00:12	25918/25918	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Nov%202024%2017:34:11%20GMT	https://ambronite.com/cdn/shop/files/KMS-Launch-Pic_300x.jpg?v=1613786272	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/KMS-Launch-Pic_300x4b8b.jpg	(from https://ambronite.com/)
11:00:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:09%20GMT	http://ambronite.com/cdn/shop/files/KMS-Launch-Pic_2048x.jpg?v=1613786272	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/KMS-Launch-Pic_2048x4b8b.jpg	(from https://ambronite.com/)
11:00:14	359650/359650	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2013:11:09%20GMT	https://ambronite.com/cdn/shop/files/KMS-Launch-Pic_2048x.jpg?v=1613786272	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/KMS-Launch-Pic_2048x4b8b.jpg	(from https://ambronite.com/)
11:00:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:10%20GMT	https://ambronite.com/blog	C:/My%20Web%20Sites/ambronite/ambronite.com/blog	(from https://ambronite.com/)
11:00:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:11%20GMT	https://ambronite.com/podcast	C:/My%20Web%20Sites/ambronite/ambronite.com/podcast	(from https://ambronite.com/)
11:00:15	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2006:00:11%20GMT	https://ambronite.com/account	C:/My%20Web%20Sites/ambronite/ambronite.com/account	(from https://ambronite.com/)
11:00:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:12%20GMT	http://ambronite.com/cdn/shop/files/mountain_optimized_1200x.jpg?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/mountain_optimized_1200x7954.jpg	(from https://ambronite.com/)
11:00:15	110721/110721	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:0f03e1dc3c6b8fef1772bb27549988c6%22	https://ambronite.com/account/login?return_url=%2Faccount	C:/My%20Web%20Sites/ambronite/ambronite.com/account/login4236.html	(from https://ambronite.com/)
11:00:16	161768/161768	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202024%2008:16:45%20GMT	https://ambronite.com/cdn/shop/files/mountain_optimized_1200x.jpg?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/mountain_optimized_1200x7954.jpg	(from https://ambronite.com/)
11:00:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:13%20GMT	http://ambronite.com/cdn/shop/files/Time-magazine-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Time-magazine-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:18	159635/159635	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:d2f8555f13fdaf8d0455e928548913b6%22	https://ambronite.com/collections/all-products-new	C:/My%20Web%20Sites/ambronite/ambronite.com/collections/all-products-new.html	(from https://ambronite.com/)
11:00:19	4989/4989	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Dec%202024%2017:05:21%20GMT	https://ambronite.com/cdn/shop/files/Time-magazine-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Time-magazine-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:15%20GMT	http://ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_100x7954.png	(from https://ambronite.com/)
11:00:20	4866/4866	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Dec%202024%2017:05:17%20GMT	https://ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_100x7954.png	(from https://ambronite.com/)
11:00:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:16%20GMT	http://ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_2048x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_2048x7954.png	(from https://ambronite.com/)
11:00:20	14031/14031	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2005:26:16%20GMT	https://ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_2048x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wallpaper_magazine_logo_black_and_white_2048x7954.png	(from https://ambronite.com/)
11:00:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:17%20GMT	http://ambronite.com/cdn/shop/files/Wired-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wired-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:22	3981/3981	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Dec%202024%2017:05:13%20GMT	https://ambronite.com/cdn/shop/files/Wired-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wired-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:18%20GMT	http://ambronite.com/cdn/shop/files/Wired-logo-black-and-white_2048x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wired-logo-black-and-white_2048x7954.png	(from https://ambronite.com/)
11:00:23	6093/6093	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Dec%202024%2006:00:19%20GMT	https://ambronite.com/cdn/shop/files/Wired-logo-black-and-white_2048x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/Wired-logo-black-and-white_2048x7954.png	(from https://ambronite.com/)
11:00:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:19%20GMT	http://ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:24	4783/4783	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Dec%202024%2017:05:09%20GMT	https://ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:20%20GMT	http://ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_2048x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_2048x7954.png	(from https://ambronite.com/)
11:00:25	5797/5797	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Dec%202024%2015:53:14%20GMT	https://ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_2048x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/ars-technica-logo-black-and-white_2048x7954.png	(from https://ambronite.com/)
11:00:25	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:21%20GMT	http://ambronite.com/cdn/shop/files/fast-company-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/fast-company-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:26	4453/4453	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Dec%202024%2017:05:05%20GMT	https://ambronite.com/cdn/shop/files/fast-company-logo-black-and-white_100x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/fast-company-logo-black-and-white_100x7954.png	(from https://ambronite.com/)
11:00:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:00:22%20GMT	http://ambronite.com/cdn/shop/files/fast-company-logo-black-and-white_2048x.png?v=1613719088	C:/My%20Web%20Sites/ambronite/ambronite.com/cdn/shop/files/fast-company-logo-black-and-white_2048x7954.png	(from https://ambronite.com/)
